Date,Universe,Ticker,alpha,l1_ratio
2025-02-28,A,VUG,0.0028072162039411755,0.95
2025-03-31,A,DIA,100.0,0.2
2025-03-31,A,IJR,0.004520353656360241,0.8
2025-03-31,A,MDY,0.004520353656360241,0.95
2025-03-31,A,MTUM,0.03039195382313198,0.2
2025-03-31,A,ONEQ,0.004520353656360241,0.8
2025-03-31,A,QQQ,100.0,0.2
2025-03-31,A,QUAL,0.011721022975334805,0.5
2025-03-31,A,RSP,0.004520353656360241,0.8
2025-03-31,A,SPY,0.0028072162039411755,0.95
2025-03-31,A,USMV,100.0,0.2
2025-03-31,A,VNQ,0.007278953843983146,0.8
2025-03-31,A,VTV,0.007278953843983146,0.8
2025-03-31,A,VUG,0.004520353656360241,0.95
2025-04-30,A,DIA,100.0,0.2
2025-04-30,A,IJR,0.007278953843983146,0.95
2025-04-30,A,MDY,0.004520353656360241,0.95
2025-04-30,A,MTUM,100.0,0.2
2025-04-30,A,ONEQ,100.0,0.2
2025-04-30,A,QQQ,100.0,0.2
2025-04-30,A,QUAL,0.03039195382313198,0.2
2025-04-30,A,RSP,0.004520353656360241,0.8
2025-04-30,A,SPY,100.0,0.2
2025-04-30,A,USMV,100.0,0.2
2025-04-30,A,VNQ,100.0,0.2
2025-04-30,A,VTV,0.007278953843983146,0.8
2025-04-30,A,VUG,0.007278953843983146,0.8
2025-05-31,A,DIA,100.0,0.2
2025-05-31,A,IJR,0.007278953843983146,0.95
2025-05-31,A,MDY,0.007278953843983146,0.95
2025-05-31,A,MTUM,100.0,0.2
2025-05-31,A,ONEQ,100.0,0.2
2025-05-31,A,QQQ,100.0,0.2
2025-05-31,A,QUAL,0.011721022975334805,0.5
2025-05-31,A,RSP,0.011721022975334805,0.5
2025-05-31,A,SPY,100.0,0.2
2025-05-31,A,USMV,100.0,0.2
2025-05-31,A,VNQ,100.0,0.2
2025-05-31,A,VTV,0.007278953843983146,0.8
2025-05-31,A,VUG,0.007278953843983146,0.8
2025-06-30,A,DIA,100.0,0.2
2025-06-30,A,IJR,0.03039195382313198,0.2
2025-06-30,A,MDY,0.004520353656360241,0.95
2025-06-30,A,MTUM,100.0,0.2
2025-06-30,A,ONEQ,0.011721022975334805,0.5
2025-06-30,A,QQQ,0.007278953843983146,0.95
2025-06-30,A,QUAL,0.011721022975334805,0.5
2025-06-30,A,RSP,0.004520353656360241,0.8
2025-06-30,A,SPY,100.0,0.2
2025-06-30,A,USMV,100.0,0.2
2025-06-30,A,VNQ,100.0,0.2
2025-06-30,A,VTV,0.007278953843983146,0.8
2025-06-30,A,VUG,0.007278953843983146,0.8
2025-07-31,A,DIA,100.0,0.2
2025-07-31,A,IJR,0.007278953843983146,0.95
2025-07-31,A,MDY,0.004520353656360241,0.95
2025-07-31,A,MTUM,100.0,0.2
2025-07-31,A,ONEQ,0.007278953843983146,0.8
2025-07-31,A,QQQ,100.0,0.2
2025-07-31,A,QUAL,100.0,0.2
2025-07-31,A,RSP,0.004520353656360241,0.8
2025-07-31,A,SPY,100.0,0.2
2025-07-31,A,USMV,100.0,0.2
2025-07-31,A,VNQ,0.007278953843983146,0.8
2025-07-31,A,VTV,0.007278953843983146,0.8
2025-07-31,A,VUG,0.007278953843983146,0.8
2025-08-31,A,DIA,100.0,0.2
2025-08-31,A,IJR,0.007278953843983146,0.95
2025-08-31,A,MDY,0.007278953843983146,0.95
2025-08-31,A,MTUM,100.0,0.2
2025-08-31,A,ONEQ,0.03039195382313198,0.2
2025-08-31,A,QQQ,0.007278953843983146,0.95
2025-08-31,A,QUAL,0.03039195382313198,0.2
2025-08-31,A,RSP,0.007278953843983146,0.8
2025-08-31,A,SPY,100.0,0.2
2025-08-31,A,USMV,100.0,0.2
2025-08-31,A,VNQ,100.0,0.2
2025-08-31,A,VTV,0.007278953843983146,0.8
2025-08-31,A,VUG,0.007278953843983146,0.8
2025-09-30,A,DIA,100.0,0.2
2025-09-30,A,IJR,0.011721022975334805,0.8
2025-09-30,A,MDY,100.0,0.2
2025-09-30,A,MTUM,100.0,0.2
2025-09-30,A,ONEQ,0.007278953843983146,0.8
2025-09-30,A,QQQ,0.007278953843983146,0.8
2025-09-30,A,QUAL,100.0,0.2
2025-09-30,A,RSP,100.0,0.2
2025-09-30,A,SPY,100.0,0.2
2025-09-30,A,USMV,100.0,0.2
2025-09-30,A,VNQ,100.0,0.2
2025-09-30,A,VTV,100.0,0.2
2025-09-30,A,VUG,0.007278953843983146,0.8
2009-09-30,ALL,DIA,0.011721022975334805,0.8
2009-09-30,ALL,EWD,0.03039195382313198,0.8
2009-09-30,ALL,EWG,0.07880462815669913,0.2
2009-09-30,ALL,EWI,0.07880462815669913,0.2
2009-09-30,ALL,EWL,100.0,0.2
2009-09-30,ALL,EWN,0.03039195382313198,0.8
2009-09-30,ALL,EWP,0.03039195382313198,0.8
2009-09-30,ALL,EWQ,0.018873918221350976,0.8
2009-09-30,ALL,EWU,0.011721022975334805,0.95
2009-09-30,ALL,EZU,0.03039195382313198,0.5
2009-09-30,ALL,FEZ,0.018873918221350976,0.8
2009-09-30,ALL,GLD,100.0,0.2
2009-09-30,ALL,IJR,100.0,0.2
2009-09-30,ALL,MDY,100.0,0.2
2009-09-30,ALL,ONEQ,100.0,0.2
2009-09-30,ALL,QQQ,100.0,0.2
2009-09-30,ALL,RSP,100.0,0.2
2009-09-30,ALL,SPY,100.0,0.2
2009-09-30,ALL,VGK,0.018873918221350976,0.8
2009-09-30,ALL,VNQ,0.0017433288221999873,0.95
2009-09-30,ALL,VTV,0.04893900918477494,0.2
2009-09-30,ALL,VUG,100.0,0.2
2009-10-31,ALL,DIA,0.04893900918477494,0.2
2009-10-31,ALL,EWD,100.0,0.2
2009-10-31,ALL,EWG,100.0,0.2
2009-10-31,ALL,EWI,0.03039195382313198,0.8
2009-10-31,ALL,EWL,100.0,0.2
2009-10-31,ALL,EWN,100.0,0.2
2009-10-31,ALL,EWP,100.0,0.2
2009-10-31,ALL,EWQ,100.0,0.2
2009-10-31,ALL,EWU,0.04893900918477494,0.2
2009-10-31,ALL,EZU,100.0,0.2
2009-10-31,ALL,FEZ,100.0,0.2
2009-10-31,ALL,GLD,100.0,0.2
2009-10-31,ALL,IJR,100.0,0.2
2009-10-31,ALL,MDY,100.0,0.2
2009-10-31,ALL,ONEQ,100.0,0.2
2009-10-31,ALL,QQQ,100.0,0.2
2009-10-31,ALL,RSP,100.0,0.2
2009-10-31,ALL,SPY,100.0,0.2
2009-10-31,ALL,VGK,0.018873918221350976,0.95
2009-10-31,ALL,VNQ,100.0,0.2
2009-10-31,ALL,VTV,0.018873918221350976,0.95
2009-10-31,ALL,VUG,100.0,0.2
2009-11-30,ALL,DIA,0.011721022975334805,0.8
2009-11-30,ALL,EWD,100.0,0.2
