Date,Universe,Strategy,Cost_bps,Ret_gross,Cost,Ret_net
2023-08-31,A,EqualWeight_1N,0,-0.0494179676035401,0.0,-0.0494179676035401
2023-09-30,A,EqualWeight_1N,0,-0.0271349689902638,0.0,-0.0271349689902638
2023-10-31,A,EqualWeight_1N,0,0.0926677853737796,0.0,0.0926677853737796
2023-11-30,A,EqualWeight_1N,0,0.061616644848232,0.0,0.061616644848232
2023-12-31,A,EqualWeight_1N,0,0.005341891320545,0.0,0.005341891320545
2024-01-31,A,EqualWeight_1N,0,0.0487074655499005,0.0,0.0487074655499005
2024-02-29,A,EqualWeight_1N,0,0.0300716573756864,0.0,0.0300716573756864
2024-03-31,A,EqualWeight_1N,0,-0.048870565406005,0.0,-0.048870565406005
2024-04-30,A,EqualWeight_1N,0,0.0466530005140369,0.0,0.0466530005140369
2024-05-31,A,EqualWeight_1N,0,0.0240248647095726,0.0,0.0240248647095726
2024-06-30,A,EqualWeight_1N,0,0.0289001919905681,0.0,0.0289001919905681
2024-07-31,A,EqualWeight_1N,0,0.0223352686790665,0.0,0.0223352686790665
2024-08-31,A,EqualWeight_1N,0,0.0193883498172851,0.0,0.0193883498172851
2024-09-30,A,EqualWeight_1N,0,-0.0127236500038308,0.0,-0.0127236500038308
2024-10-31,A,EqualWeight_1N,0,0.0658802227527585,0.0,0.0658802227527585
2024-11-30,A,EqualWeight_1N,0,-0.0429303254846092,0.0,-0.0429303254846092
2024-12-31,A,EqualWeight_1N,0,0.0318081732234057,0.0,0.0318081732234057
2025-01-31,A,EqualWeight_1N,0,-0.0127394968100172,0.0,-0.0127394968100172
2025-02-28,A,EqualWeight_1N,0,-0.0519191254952187,0.0,-0.0519191254952187
2025-03-31,A,EqualWeight_1N,0,-0.0101506241410952,0.0,-0.0101506241410952
2025-04-30,A,EqualWeight_1N,0,0.0564628575532487,0.0,0.0564628575532487
2025-05-31,A,EqualWeight_1N,0,0.0404651204699,0.0,0.0404651204699
2025-06-30,A,EqualWeight_1N,0,0.0124603712891415,0.0,0.0124603712891415
2025-07-31,A,EqualWeight_1N,0,0.0263469861329634,0.0,0.0263469861329634
2025-08-31,A,EqualWeight_1N,0,0.0082061814321601,0.0,0.0082061814321601
2025-09-30,A,EqualWeight_1N,0,0.0,0.0,0.0
2009-10-31,A,EqualWeight_LongShort,0,0.0031269043169171,0.0,0.0031269043169171
2009-11-30,A,EqualWeight_LongShort,0,0.0009157099331391,0.0,0.0009157099331391
2009-12-31,A,EqualWeight_LongShort,0,-0.0091694781897113,0.0,-0.0091694781897113
2010-01-31,A,EqualWeight_LongShort,0,-0.0013103604971405,0.0,-0.0013103604971405
2010-02-28,A,EqualWeight_LongShort,0,-0.0042527986812815,0.0,-0.0042527986812815
2010-03-31,A,EqualWeight_LongShort,0,0.0042536690507113,0.0,0.0042536690507113
2010-04-30,A,EqualWeight_LongShort,0,0.0033552634983399,0.0,0.0033552634983399
2010-05-31,A,EqualWeight_LongShort,0,0.0023457017502073,0.0,0.0023457017502073
2010-06-30,A,EqualWeight_LongShort,0,0.0023911750880184,0.0,0.0023911750880184
2010-07-31,A,EqualWeight_LongShort,0,0.00733785150155,0.0,0.00733785150155
2010-08-31,A,EqualWeight_LongShort,0,0.0003765695959875,0.0,0.0003765695959875
2010-09-30,A,EqualWeight_LongShort,0,0.0069567294654466,0.0,0.0069567294654466
2010-10-31,A,EqualWeight_LongShort,0,-0.0003449613346793,0.0,-0.0003449613346793
2010-11-30,A,EqualWeight_LongShort,0,-0.001528830849983,0.0,-0.001528830849983
2010-12-31,A,EqualWeight_LongShort,0,-0.0020807941239782,0.0,-0.0020807941239782
2011-01-31,A,EqualWeight_LongShort,0,0.0035845676007979,0.0,0.0035845676007979
2011-02-28,A,EqualWeight_LongShort,0,-0.0055395812742584,0.0,-0.0055395812742584
2011-03-31,A,EqualWeight_LongShort,0,-0.0028510561369604,0.0,-0.0028510561369604
2011-04-30,A,EqualWeight_LongShort,0,0.002250658372981,0.0,0.002250658372981
2011-05-31,A,EqualWeight_LongShort,0,0.000591796620787,0.0,0.000591796620787
2011-06-30,A,EqualWeight_LongShort,0,-0.0005360625507126,0.0,-0.0005360625507126
2011-07-31,A,EqualWeight_LongShort,0,0.003415244958852,0.0,0.003415244958852
2011-08-31,A,EqualWeight_LongShort,0,0.0028646462137384,0.0,0.0028646462137384
2011-09-30,A,EqualWeight_LongShort,0,-3.41718249542277e-05,0.0,-3.41718249542277e-05
2011-10-31,A,EqualWeight_LongShort,0,-0.0033404126067832,0.0,-0.0033404126067832
2011-11-30,A,EqualWeight_LongShort,0,-0.0130044590091087,0.0,-0.0130044590091087
2011-12-31,A,EqualWeight_LongShort,0,0.0101938005800282,0.0,0.0101938005800282
2012-01-31,A,EqualWeight_LongShort,0,0.0105952420280909,0.0,0.0105952420280909
2012-02-29,A,EqualWeight_LongShort,0,0.0007655946006989,0.0,0.0007655946006989
2012-03-31,A,EqualWeight_LongShort,0,-0.0037641619557767,0.0,-0.0037641619557767
2012-04-30,A,EqualWeight_LongShort,0,-0.0041525416275121,0.0,-0.0041525416275121
2012-05-31,A,EqualWeight_LongShort,0,-0.0030826701502671,0.0,-0.0030826701502671
2012-06-30,A,EqualWeight_LongShort,0,0.00400918667553,0.0,0.00400918667553
2012-07-31,A,EqualWeight_LongShort,0,0.0020094257049674,0.0,0.0020094257049674
2012-08-31,A,EqualWeight_LongShort,0,0.0004635452260886,0.0,0.0004635452260886
2012-09-30,A,EqualWeight_LongShort,0,-0.00549686412901,0.0,-0.00549686412901
2012-10-31,A,EqualWeight_LongShort,0,0.0025699157507044,0.0,0.0025699157507044
2012-11-30,A,EqualWeight_LongShort,0,0.0037679540535356,0.0,0.0037679540535356
2012-12-31,A,EqualWeight_LongShort,0,0.0064047366461857,0.0,0.0064047366461857
2013-01-31,A,EqualWeight_LongShort,0,0.0013108968598678,0.0,0.0013108968598678
2013-02-28,A,EqualWeight_LongShort,0,0.0020552911092808,0.0,0.0020552911092808
2013-03-31,A,EqualWeight_LongShort,0,0.0055019056514896,0.0,0.0055019056514896
2013-04-30,A,EqualWeight_LongShort,0,-0.0117678245076595,0.0,-0.0117678245076595
2013-05-31,A,EqualWeight_LongShort,0,-0.0022841260078824,0.0,-0.0022841260078824
2013-06-30,A,EqualWeight_LongShort,0,-0.0073942268936416,0.0,-0.0073942268936416
2013-07-31,A,EqualWeight_LongShort,0,-0.0049016106717627,0.0,-0.0049016106717627
2013-08-31,A,EqualWeight_LongShort,0,-0.0020343962406513,0.0,-0.0020343962406513
2013-09-30,A,EqualWeight_LongShort,0,-0.0004184637533784,0.0,-0.0004184637533784
2013-10-31,A,EqualWeight_LongShort,0,-0.0043914076014141,0.0,-0.0043914076014141
2013-11-30,A,EqualWeight_LongShort,0,0.002070932337842,0.0,0.002070932337842
2013-12-31,A,EqualWeight_LongShort,0,-0.0014384838585684,0.0,-0.0014384838585684
2014-01-31,A,EqualWeight_LongShort,0,0.0006613912775877,0.0,0.0006613912775877
2014-02-28,A,EqualWeight_LongShort,0,-0.0064827784910339,0.0,-0.0064827784910339
2014-03-31,A,EqualWeight_LongShort,0,-0.0120186691917336,0.0,-0.0120186691917336
2014-04-30,A,EqualWeight_LongShort,0,0.0055121415400203,0.0,0.0055121415400203
2014-05-31,A,EqualWeight_LongShort,0,-3.553692783015913e-05,0.0,-3.553692783015913e-05
2014-06-30,A,EqualWeight_LongShort,0,-0.001575491955922,0.0,-0.001575491955922
2014-07-31,A,EqualWeight_LongShort,0,0.0007473496736871,0.0,0.0007473496736871
2014-08-31,A,EqualWeight_LongShort,0,-0.0110276495412025,0.0,-0.0110276495412025
2014-09-30,A,EqualWeight_LongShort,0,-0.0024110266053796,0.0,-0.0024110266053796
2014-10-31,A,EqualWeight_LongShort,0,-0.0002599335766848,0.0,-0.0002599335766848
2014-11-30,A,EqualWeight_LongShort,0,0.0005132602865802,0.0,0.0005132602865802
2014-12-31,A,EqualWeight_LongShort,0,0.0095430726278617,0.0,0.0095430726278617
2015-01-31,A,EqualWeight_LongShort,0,-0.0046160946221557,0.0,-0.0046160946221557
2015-02-28,A,EqualWeight_LongShort,0,0.0127539932193387,0.0,0.0127539932193387
2015-03-31,A,EqualWeight_LongShort,0,-0.0093761179647867,0.0,-0.0093761179647867
2015-04-30,A,EqualWeight_LongShort,0,-0.0017733239691674,0.0,-0.0017733239691674
2015-05-31,A,EqualWeight_LongShort,0,0.0007318501757928,0.0,0.0007318501757928
2015-06-30,A,EqualWeight_LongShort,0,-0.0005345202984626,0.0,-0.0005345202984626
