Date,Universe,Strategy,Ret
2020-12-31,A,EqualWeight_LongShort,0.013460178686028298
2021-01-31,A,EqualWeight_LongShort,-0.0013445313193964732
2021-02-28,A,EqualWeight_LongShort,-0.012922864114857619
2021-03-31,A,EqualWeight_LongShort,0.008067413323829986
2021-04-30,A,EqualWeight_LongShort,-0.007315676125963039
2021-05-31,A,EqualWeight_LongShort,-0.0017389073720312322
2021-06-30,A,EqualWeight_LongShort,0.007691751160973001
2021-07-31,A,EqualWeight_LongShort,0.00642838588990289
2021-08-31,A,EqualWeight_LongShort,-0.005944599953400232
2021-09-30,A,EqualWeight_LongShort,0.0015126094166139628
2021-10-31,A,EqualWeight_LongShort,0.010989693027975088
2021-11-30,A,EqualWeight_LongShort,-0.02067080817195031
2021-12-31,A,EqualWeight_LongShort,-0.009299084241023223
2022-01-31,A,EqualWeight_LongShort,-0.00583925800081772
2022-02-28,A,EqualWeight_LongShort,-0.004744887399823632
2022-03-31,A,EqualWeight_LongShort,-0.0037694423451172738
2022-04-30,A,EqualWeight_LongShort,-0.0073417322613123495
2022-05-31,A,EqualWeight_LongShort,0.003228310045684626
2022-06-30,A,EqualWeight_LongShort,-0.016005618788437356
2022-07-31,A,EqualWeight_LongShort,-0.002016724643369365
2022-08-31,A,EqualWeight_LongShort,0.0017919616984146403
2022-09-30,A,EqualWeight_LongShort,0.011889567738214625
2022-10-31,A,EqualWeight_LongShort,-0.001945508457761869
2022-11-30,A,EqualWeight_LongShort,-0.00235561027924879
2022-12-31,A,EqualWeight_LongShort,-0.029557028679026966
2023-01-31,A,EqualWeight_LongShort,0.009196009941221994
2023-02-28,A,EqualWeight_LongShort,0.022405313863392534
2023-03-31,A,EqualWeight_LongShort,0.004136236023025597
2023-04-30,A,EqualWeight_LongShort,0.02635257282035936
2023-05-31,A,EqualWeight_LongShort,-0.0016100196368613604
2023-06-30,A,EqualWeight_LongShort,-0.001550312383194326
2023-07-31,A,EqualWeight_LongShort,0.007936906634738838
2023-08-31,A,EqualWeight_LongShort,-0.0007518220776668565
2023-09-30,A,EqualWeight_LongShort,0.0031073822989212225
2023-10-31,A,EqualWeight_LongShort,0.005450129562435087
2023-11-30,A,EqualWeight_LongShort,-0.016502664250514085
2023-12-31,A,EqualWeight_LongShort,0.018973240987973
2024-01-31,A,EqualWeight_LongShort,0.01411544856594347
2024-02-29,A,EqualWeight_LongShort,-0.005833721072205367
2024-03-31,A,EqualWeight_LongShort,0.0053009166878581395
2024-04-30,A,EqualWeight_LongShort,0.010514719779296413
2024-05-31,A,EqualWeight_LongShort,0.023978337693670713
2024-06-30,A,EqualWeight_LongShort,-0.03569494860975405
2024-07-31,A,EqualWeight_LongShort,-0.010404007066161123
2024-08-31,A,EqualWeight_LongShort,0.003936868397097948
2024-09-30,A,EqualWeight_LongShort,-0.001305326575162746
2024-10-31,A,EqualWeight_LongShort,-0.009755357562666822
2024-11-30,A,EqualWeight_LongShort,0.00474754650475372
2024-12-31,A,EqualWeight_LongShort,-0.0005273577482103715
2025-01-31,A,EqualWeight_LongShort,-0.017837124365696885
2025-02-28,A,EqualWeight_LongShort,-0.017093415912720584
2025-03-31,A,EqualWeight_LongShort,0.0021440628632446623
2025-04-30,A,EqualWeight_LongShort,0.0221764145413611
2025-05-31,A,EqualWeight_LongShort,0.0076474172112948975
2025-06-30,A,EqualWeight_LongShort,0.008736219601469317
2025-07-31,A,EqualWeight_LongShort,-0.0034467372841624306
2025-08-31,A,EqualWeight_LongShort,0.0041385993523062325
2025-09-30,A,EqualWeight_LongShort,0.0
2009-10-31,A,ML_RF_longshort_0bps,0.019619881834598635
2009-11-30,A,ML_RF_longshort_0bps,0.016252067090262633
2009-12-31,A,ML_RF_longshort_0bps,-0.022054808261842945
2010-01-31,A,ML_RF_longshort_0bps,0.013769918510265837
2010-02-28,A,ML_RF_longshort_0bps,0.013832083994762202
2010-03-31,A,ML_RF_longshort_0bps,0.015399602003623742
2010-04-30,A,ML_RF_longshort_0bps,0.0046157260386074615
2010-05-31,A,ML_RF_longshort_0bps,0.010506088284474649
2010-06-30,A,ML_RF_longshort_0bps,-0.024194864434535814
2010-07-31,A,ML_RF_longshort_0bps,0.02529143157337736
2010-08-31,A,ML_RF_longshort_0bps,-0.03092962056459723
2010-09-30,A,ML_RF_longshort_0bps,-0.004165300159865769
2010-10-31,A,ML_RF_longshort_0bps,0.003066309601494381
2010-11-30,A,ML_RF_longshort_0bps,0.011687807505642902
2010-12-31,A,ML_RF_longshort_0bps,0.005899795083933336
2011-01-31,A,ML_RF_longshort_0bps,0.015753771138366745
2011-02-28,A,ML_RF_longshort_0bps,-0.00019246513741779249
2011-03-31,A,ML_RF_longshort_0bps,0.006168476032140749
2011-04-30,A,ML_RF_longshort_0bps,-0.0009992831030568852
2011-05-31,A,ML_RF_longshort_0bps,-0.0058833612592719435
2011-06-30,A,ML_RF_longshort_0bps,-0.008536338382103527
2011-07-31,A,ML_RF_longshort_0bps,0.02338415035863002
2011-08-31,A,ML_RF_longshort_0bps,0.0030160833216607823
2011-09-30,A,ML_RF_longshort_0bps,-0.036322501055605166
2011-10-31,A,ML_RF_longshort_0bps,-0.0083716147982635
2011-11-30,A,ML_RF_longshort_0bps,-0.009141945263663782
2011-12-31,A,ML_RF_longshort_0bps,0.02625980308484534
2012-01-31,A,ML_RF_longshort_0bps,0.0017905953431876474
2012-02-29,A,ML_RF_longshort_0bps,0.010328369072167285
2012-03-31,A,ML_RF_longshort_0bps,-0.007968162087915093
2012-04-30,A,ML_RF_longshort_0bps,-0.021940654207537637
2012-05-31,A,ML_RF_longshort_0bps,0.004061932184684712
2012-06-30,A,ML_RF_longshort_0bps,0.00294276949908773
2012-07-31,A,ML_RF_longshort_0bps,0.014450324627186109
2012-08-31,A,ML_RF_longshort_0bps,0.004184120924693048
2012-09-30,A,ML_RF_longshort_0bps,-0.011921000345813894
2012-10-31,A,ML_RF_longshort_0bps,0.003277175193194525
2012-11-30,A,ML_RF_longshort_0bps,0.0035847241485803764
2012-12-31,A,ML_RF_longshort_0bps,0.0189345283914358
2013-01-31,A,ML_RF_longshort_0bps,0.0019950954652245985
2013-02-28,A,ML_RF_longshort_0bps,0.008859444539574282
2013-03-31,A,ML_RF_longshort_0bps,0.006355379981130696
2013-04-30,A,ML_RF_longshort_0bps,-0.00011864707176431643
2013-05-31,A,ML_RF_longshort_0bps,0.0017089753651433747
2013-06-30,A,ML_RF_longshort_0bps,-0.016884380317990208
2013-07-31,A,ML_RF_longshort_0bps,-0.0017859895390260447
2013-08-31,A,ML_RF_longshort_0bps,0.0019032321999300243
2013-09-30,A,ML_RF_longshort_0bps,-0.0039051050295874387
2013-10-31,A,ML_RF_longshort_0bps,-0.008885752102877072
2013-11-30,A,ML_RF_longshort_0bps,0.0028600477558625567
2013-12-31,A,ML_RF_longshort_0bps,-0.0013232327699755284
2014-01-31,A,ML_RF_longshort_0bps,-0.0010633359416255485
2014-02-28,A,ML_RF_longshort_0bps,-0.0024209300991804503
2014-03-31,A,ML_RF_longshort_0bps,-0.009206417832859849
2014-04-30,A,ML_RF_longshort_0bps,0.0055414852059618176
2014-05-31,A,ML_RF_longshort_0bps,0.0034418555374935173
2014-06-30,A,ML_RF_longshort_0bps,-0.0018825997233695535
2014-07-31,A,ML_RF_longshort_0bps,0.0006996331883690867
2014-08-31,A,ML_RF_longshort_0bps,-0.010893321957546156
2014-09-30,A,ML_RF_longshort_0bps,-0.0015561590247014233
2014-10-31,A,ML_RF_longshort_0bps,-0.002736423918492657
2014-11-30,A,ML_RF_longshort_0bps,-1.5214912841695103e-05
2014-12-31,A,ML_RF_longshort_0bps,0.009290336524941456
2015-01-31,A,ML_RF_longshort_0bps,-0.007876252110888708
2015-02-28,A,ML_RF_longshort_0bps,0.008771226377856474
2015-03-31,A,ML_RF_longshort_0bps,-0.00991880892819352
2015-04-30,A,ML_RF_longshort_0bps,-0.0018352488042410527
